Date/Time,Name,Email,Phone number,Product name,Consent given,Tags,Q1. Bitte gib Feedback ( https://media.videoask.com/transcoded/c6d6b8e6-d6d4-48fb-b789-bf5d756916d2/video.mp4?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJtZWRpYV9pZCI6ImM2ZDZiOGU2LWQ2ZDQtNDhmYi1iNzg5LWJmNWQ3NTY5MTZkMiIsImV4cCI6MTc2Mzk3OTcxNX0.lh1n_5lRkgiN0QmQkbRKI0LtwZk70XkUrg2OH5lDFabe76idDHNxkOE2xZBayzmURnGU-YjPvO9dYzhiBB4WYMftubyHGqwBA2yf-XlSXMR8x7emiXB9MiinQVvQ8NLf0hIusQQeL3xLvh0MJtmPjTY0ZwFUM64wNUqJ5V3OPwJhLDePZ9fDz64SmkQwwjdTqJV-1Mr7yFlDLif6NpuAxmserZPrr1UYASUmS52r2x9pIYwrXTL5BpeN2BsfMWPi2SkvS-vdknNyWYFIc87Jbce_ACh10xG59k0ZhDxnCt3T1q-pK26oT96R2hsNbQkHhmtCXZJLZMipwxdb0UveIcHxsnlZNLh-Ieg0X9lKJpkQiZtu1vZXrYullTrqxfdR1OO2Uef-ODfdv96Cf_3ZNW8CoEUjWRj0lvEsYTt1Bd3CEPC3gl1ntP9Tl3dl9cl6zG6ZRb0CAvJa9j-XIVFzaS1LSkhKVKWzv9Tm_SxolpvHevQ4wO30pNG3N7HpcsGUCWqHXLzoA8Qj4W_fCEIyDZjZ7rdUTrNFWd5F64Oj0-o1GifVxyy-3tPlSEYXP6XrJUG9GUU-ciZ1RzhVUXEesz0VHAHSHK2ZAty8wVPy3saoUC8YJ_1gD_LkWMfTOFWXGBX099VrVtiVsU7Lbhn44Uyv6888OXdVmOmiadLAN58 ),Q2. Verbesserung nötig ( https://media.videoask.com/transcoded/8909715e-1c0b-46c2-b3c3-a74cdfd2041d/video.mp4?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJtZWRpYV9pZCI6Ijg5MDk3MTVlLTFjMGItNDZjMi1iM2MzLWE3NGNkZmQyMDQxZCIsImV4cCI6MTc2Mzk3OTcxNX0.PtJ_07BDqryefGhQMN2Qezfiy7gYHRA2shKzkqEuTJVsWIQn1dKrKrOi7W7DE92JQCCNN-7BXqv7g22yJK-I8xchhXYjvjV4-8VQVOgRF0EEUhvDZemzj1cLCbrRYnqH9keQxtr3fkTZfG9bH9lA9rSasRxSPRl3IZS4a7a67Pv15pbIPwUh-PgKwVWfezaY8REfLTvNad7aBk_iVYc2L13uXXXyGu5UKck9CGpDPVvFi2POFRekHLe8lgtI1pC0t5jzdI9Jvgi4iVgr-0hrt9tazqooovsxKhep9mkOjxxzlE1oNd3IB-PRein4lMFKhvhNKdePT_KA9QMyTfHHtPyZzKNkHNRS5W9SROUi06f5nmgWmk680yuzfR5fXPHyOXuN4EocKYDbnDKdkrH7TanAvF0QGSnYQZZ7DT8mUFxoDxRA19VodyvENH0gkp1PJqLEGk4m6ZvoI3UbN7rGk0UHemuNml38G-5xDDq_mkSPZx0zb7knp6Yze8drIVES3w-7Cm8gwXIncrFuFOUAArMazeBDY8eX2aK8e13jvB0FLDkFuQ2L-SveyyNO8SXhz1052GSYzHiRUZqAe2FdYtbcQqMneHpblknQpz2cvfZvnV2rBiyvTvwon3XmZUUbNCKDXiQbZzB3DbQze4F33h7z09q-46Ogi3ixU7hCq0c ),Q3. Untitled ( https://media.videoask.com/transcoded/3cc2794e-f515-41b3-b471-709f72fa68ac/video.mp4?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJtZWRpYV9pZCI6IjNjYzI3OTRlLWY1MTUtNDFiMy1iNDcxLTcwOWY3MmZhNjhhYyIsImV4cCI6MTc2Mzk3OTcxNX0.ZUOU9Gwa8oRS8YU9EZjGNlQ6CIMypfAlB5ko9rG0C3VQtz1nGiIJ_MVR90H6QQ1VX-gWDRXHlPb0C-8BUM8j8lJeuTFDwnITW0kRmAqpFc3u1x6spkxUjBH_Es0WY071x_evtah9LimHCTBGBrR9nLQANM8WB3yyKXoUbXyD-VPcIJzAfWXJWYQB5Xtk05phqDqV8RUqr0sZapMTYVMO4RE12bhiGv3GDP21jqWIT9UWoNY4e4lBB_psYP1OtRZF20o28Fy3WDmRyzPzqUAgntxOLyp4xrc3oMxFvPP-cU1O-b7d74MeJAmXFGUa0JnZT5buXpGIWUY5TmgNZDhMMs54xR5ewVGSxrqWY9gfF0SWg9mgpW57uWCywuMs1NDGoHn7P_kSIlBY-_O7hBnGT6p1bRSwPRndV8-AP8eACkmAE4UpAhJ_-y1k4NtMl4XBKov0NaP5x_ORf1pJ2hfHZrw5CP_hWy6OvhSGEHdlztCfN7ZqFM9KS2xVkbSfoj0d4_C0N_yaBCcMqS80oqxYgiDV4YjDoRMb3nugzfqY-38vGAnjLIlwY_3IUNA6JgT3EwlWYro2hFgOdB_T0NOfMxzUaejLHuRe7TPLtVF77ht36tc4LQraOz-7gDRpipDNcws0eKh-P6ymftwyulRCiz-S5HiAblnSmpZNmr7Yh9g ),Q4. Untitled ( https://media.videoask.com/transcoded/58fa7212-86c6-4dd2-9ee1-cf2f59b1d2d3/video.mp4?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJtZWRpYV9pZCI6IjU4ZmE3MjEyLTg2YzYtNGRkMi05ZWUxLWNmMmY1OWIxZDJkMyIsImV4cCI6MTc2Mzk3OTcxNX0.n2kBKfa-Po0UWip2XkImDRjTYxHeGwql8GTrVRXM7_LOX42nQa87EV8mz8WitGH54Dg8QWisJ_rSIg-r-zmi3NTRv2XCNEnPd5AyiBNq_nz9hWbkx57o2FU72q2jDfnQYSNDyq3Q86zvMnCKxB09wrJnqkgkwlUDl8GFQqpixO7ZrUyZ7YTMfzcLXOS4mLm-AXZ6PrmLF_JSdNx05Fc6npJhuAKfzQkf1mXvCS7lT0b8qiVger1T5NYFLetfOXd10IuxqWymQ91T_ykiShQDu-bDVm_Qdy5vGf-X2x5pxj-fJ2UV5vQnG41DuhTSGewz3vEZ7tdm2oTnaO1vr6tLW73ys4_ltPkZ33UCcgUvR6JH3_QDTH30koCVscUU-qlCXnjLFpilQalHyWoxlsjLmAgjgQelwap2AlhzkvqpQe6zcP_AedAQ4-2q_LA7wOvtPbXM6scTb3VTAVZu0Y-A8k1YqYf4yoaDV3bFPH6o2DZVEtQaVRok7jxwdsbHTha39aFjc7q2DtnCf-oK2nR5yznZF3psNBPKg1D8DWW5Xy2IvuG-FxyvA2SuWxwH1CczTUiGkzokVwjWHjQBtHegB093qD2MgTUC2DKqY3MYkOIX62zSTS-xlH-ptSVPMT1zESjpPGJ4fUbDoZVp-8bDQiVqdejUXU0Rmxtnt1xA2ms ),Q5. Untitled ( https://media.videoask.com/transcoded/11bc703f-9788-433d-beb9-a4b1cf1a3af7/video.mp4?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJtZWRpYV9pZCI6IjExYmM3MDNmLTk3ODgtNDMzZC1iZWI5LWE0YjFjZjFhM2FmNyIsImV4cCI6MTc2Mzk3OTcxNX0.Rjas4_nklZIhW84gfF_NwmCQ5OVr3eQD2GIvkJOpnwvxLXin8Ocl_zIoqRhR0u07lbZ9DOAqo_Hmlxs_73aBLYJWbT-E_KflBoFcASyEj6HnJhd2D8kLMu_UJsHR4D9wC2GYHL_xUnUW5GkbhDXUEii7uh9Gm7Z4_uxoH5MYFoeGwIILvQp2kqSnX40CT6XdiWgjy5mmSyzlxS5KkrUVOenTX2YNRxSuj-DEj0EjgjTAg8y8FtKktPHu07lcKfIS2A2rdR5iZLlln5H0uXS4Ki3dreEypikY_8SBcbYEdWqfgKGSlebp1lOk3fWzYHThQvhbISBcnQtcD2zQhm3_zwZBjgj4k4JbNT3GGvRy27cRvAIXcmNe-WLpoFrADcxJxFs0gqsqyQPimmyW2ygDZvfuPipBRbtynO03vlFDWzoyTZruhTryTJJ2fFNmKrjOFNPs907byObGvkEBD6kdxbMcHiOERIR_-ymj0ZId2EKnmysr6uAs2M1GskoqHdCbSPD-gM7feYNsihrSdEocq5l-sRVWDJmG3RMSK4YZcYLC0lCDBG591ImuHCOCKZLGZHCynnUkIC-rIoja3_ORJP0FkUyB69qiT52P6ZXGkpFTZAJtpZUnNVxnjjK8C7wZAXLhHg3_khRE2xfaK0zVQEZru3ZWaAh3MBp7-kolIvo ),Q6. Danke ( https://media.videoask.com/transcoded/9923b63e-7eb3-4398-a54d-05ae0a4592df/video.mp4?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJtZWRpYV9pZCI6Ijk5MjNiNjNlLTdlYjMtNDM5OC1hNTRkLTA1YWUwYTQ1OTJkZiIsImV4cCI6MTc2Mzk3OTcxNX0.fBL_hiN-yg181kgvwFvrYNXDOfthkCZKng4O-Awphxod-8vEwK59yAMySe_67XAyTUuWtlxIHC0Pyu_VTVuvK7xOXAIoPRiKEx4rgXKf7o8YatkV6cPTlAYPY32CqSSwruO8HZpxTA3cZ4IP3lshj-H1edBLZ_xi62nAkirfPXoa_Bu7yibDxMl1FtYf2Y9qheJJwLZarTTs2HyEpuTdfcrlr7nf1YdUg1CY1sZS2SlHYESShIWAU8hCub_kbvDSqt1S14zBVBli4xIIN4M13Ymx_AGnpJDUkh0qz903BrLpwI9ivPhqDAYV_W-Ne5N-de3NSth4BKnUFrg6fD1t4z8eSh3CoTzN-Pc6rwTGaCAGenwgyQcAOb-7c0CkcxYxEXXeqMA_v7LRSnvA7BxIgs3T91d4dwmiiSJpxVGz-I5eqaoghLLfMqvF0SHi1cI5EQKLx2bT_HnJnOkAWq4t7qa0TzSQ5TRjalA2C9FvBSX1wDL9BIyaaofIMcz_Uo2xMae5cm-m15TAmWlemHSX0g2YIXkf-Jv6VhIAmJ8TbiaCrTKyyplo00SqU5wP3mnFtqfTbn4xw3t60HdzPZotbSxyn7-DjIXWbdenFCfymqYQsHYYcvBbq7_lJsrtX64ZQ05cSGrjqoFpGs66ttaPVSoDtanjKmQZdS2cSGt1Q6s ),Q7. Verbesserung nötig ( https://media.videoask.com/transcoded/28c9765f-45c2-4a9d-a252-2e5d1395ffd7/video.mp4?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJtZWRpYV9pZCI6IjI4Yzk3NjVmLTQ1YzItNGE5ZC1hMjUyLTJlNWQxMzk1ZmZkNyIsImV4cCI6MTc2Mzk3OTcxNX0.BEQtaKJ2v84OY52or1JWos4WPf6F7Ssf0pEoE0Eua-qWS-hwoKa2Wh-kPRIEy_FpjWdcGwxmBZZOXhp_yNq38ZR5KiJGdhlFsCtZiTK5CfVW6gZMVMmormDR77rzAkJrit35MAkA-NejObcbzNn-la5r1Tzh7Y6-SXBWFEysJe0ZRc72sVvp7vndajgCFU5Au49OBIMe321Z1cQ4gddJl9LPKjS2c1LxFJL8ygJDAIVu-toB9X4HGTQReUOl1eVx8lRDA68pJ-SLX4wxmxUcfnv5kF5KU-QjUK1BvC4r4qs146WOu6zB79HNLHatKwMnt8kjplpK4C3yvdMzP_V7Uy4GyE-zHuye1XGO9lia19KhHs9KuVdkSe13cUgJdfP_Y_LdNHlXUwcskPCJc7Nfy8TtiUVOXvdkMr7QonPDnaZRvpQv0IDkH6y5wpg1V4amhIDxo947aLZSzWwFE7s6NaFPhd7sQ32adrEdsQqBS5avLHEDSA8l0aZtbuZa6w8jqtjNTYULWnMwSxomjiWc9yU74YpL9R6VZduaUoa6BFqUKqnL9RQgg-G-T_XKP0toWFPh297hUVgqbdidT54OnNypD-25mdhyIOKQ5GJDayl-eT6npZy2_bal0oWFIJVoIS3rZ_T829gnm3sTIh8uCnSJ_7ldovuz2dR9YzzabYQ ),Q8. Feedback des Veranstalte... ( https://media.videoask.com/transcoded/810a7171-6bb3-48ce-a41b-be9fb1ff4f0b/video.mp4?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJtZWRpYV9pZCI6IjgxMGE3MTcxLTZiYjMtNDhjZS1hNDFiLWJlOWZiMWZmNGYwYiIsImV4cCI6MTc2Mzk3OTcxNX0.te9EOBdSE4UyiNqiVqf68jtChiS-M7u_9hmt-jOlk_21IAig0L_SGcSlSEPubcSFLdGLTVdaJxBDk1O1_zk2iTZ__WPR5at5vNiNYmH4vld0OZWS1GKQpHN5wD2GDo-jO6dwI4IMyT30nCVtWMlkgnZCHHgvZS2bFZK801bVvLdOsmXMzRjSyIEnFOEZWtEy5lz_lpMqFko3l00-u-gHzmkyGP-1ZQmeUVLKrMOwoSSEcJ0YGYxhrfHwGK7G9wZCDWgb102caKPoYGbCQtzDXrlUpdhM5N_8dRc3cX1AdSuKTDDXoOiKqDWLzUc-AccVvgephmd2nYNZhdMtaQAMgI5lBrgNBAeS7i8j9rvBWgZvoVlBlF8khIDge5mfnSSEkWl4kdWGesinouSPjRLhbJNj0VM2wcPhW4W4rijpvJL-K6YWvnq4OP9fKtPX9PZ8j6-i3uneXsEW9yJtIZBQLYRtI3Nqk0THPkF_Q2qViZr0m7tEWQNNnHlPLlxhkWJpPrT_BFysMDAZV_HgFXvw-UhKsdZ20VoXu9M9f0Dm7inUs67f7Uy6aOdSVUzbfDD9ALyJrFtJCgAiDZeWlIorJ4jBr5Fc5BcBQu0QNGSY5UAQ43zpVXwoGTC0xls2F6_0_F-bOUeD_H4uIJQaHg_TsZ8vO2IvU4OTHjalRKtQ6bk )
2025-11-19 19:35:23.021648,Anonymous 3267,N/A,N/A,N/A,N/A,,[Text Answer] 8,,[Text Answer] War gut es ging schnell,[Text Answer] Ganz okay,[Text Answer] Ja klar,,[Text Answer] Könnte besser sein,
2025-11-19 19:29:15.252534,Anonymous 3266,N/A,N/A,N/A,N/A,,[Text Answer] 8,,[Text Answer] First scooter was broken although unlocked (and I paid for :-( ...) - second one was Ok but with poor light ... not good at night ;-) ...,"[Text Answer] Preis am obere Limit - wie gesagt, zweimal gezahlt aber OK ... schnell zu Hause sein war wichtiger ...",[Text Answer] Ja - Verfügbarkeit von Scootern angemessen ...,,[Text Answer] Technical issue with scooter last time,
2025-11-19 19:23:30.431568,Anonymous 3265,N/A,N/A,N/A,N/A,,[Text Answer] 0,[Text Answer] Ich möchte 2 kostenlose Fart,"[Text Answer] ich was Zuhause vir schnell und nur 2,50 bezahlt","[Text Answer] Ja, der Preis stimmt mit der Qualität.","[Text Answer] Ja, ich würde sie nehmen, weil es schnell und bequem ist",,,
2025-11-19 19:21:12.520858,Anonymous 3264,N/A,N/A,N/A,N/A,,[Text Answer] 4,"[Text Answer] Netz nicht ausgebaut genug, weswegen eine sinnvolle Nutzung nicht möglich ist.",[Text Answer] Scooter hatte einen platten Reifen den ich erst nach Aktivierung bemerkt habe. Ich habe dann den Schaden in der App gemeldet musste aber für ein anderes Gerät nochmal die Startgebühren zahlen,[Text Answer] Nein,[Text Answer] Nein da es keine Scooter mehr in meiner Heimatstadt gibt,,,
2025-11-19 19:19:48.559064,Anonymous 3263,N/A,N/A,N/A,N/A,,[Text Answer] 8,,"[Text Answer] Die Roller sind manchmal etwas defekt, zeigen an dass sie Akkus voll sind, aber dabei sind die leer. Die Räder wackeln auch oft, wie beim letzten Mal.",[Text Answer] Es geht. Das wackeln war nicht so angenehm... also für das Geld...,"[Text Answer] Ja würde ich, weil der Bus nur ein mal die Stunde kommt",,"[Text Answer] Hä, Bro, 8 ist doch voll gut man!",
2025-11-19 19:19:18.953662,Anonymous 3262,N/A,N/A,N/A,N/A,,[Text Answer] 9,,"[Text Answer] Meine letzte Fahrt ausgerechnet war furchtbar, der Roller hat kein Gas angenommen und ich musste ihn nach 2 min und 0,0km wieder abstellen. Nach einem Gespräch mit dem Support habe ich immerhin mein Geld für die Fahrt zurückbekommen","[Text Answer] Bei der letzten Fahrt war der Preis nicht fair, da der Roller nicht gefahren ist","[Text Answer] Ja, einfach wegen der Verfügbarkeit an Orten, an denen ich ihn brauche",,,"[Text Answer] Die Verfügbarkeit der Scooter in meiner Nähe; die Preise, die ich als fair empfinde und den guten Support"
2025-11-19 19:10:50.283653,Anonymous 3261,N/A,N/A,N/A,N/A,,[Text Answer] 7,,[Text Answer] Fahrt problemlos,"[Text Answer] Preis relativ hoch, mit Gutschein aber okay","[Text Answer] Ja, keine anderen Anbieter vor Ort",,[Text Answer] Scooter häufig defekt,
2025-11-19 18:55:48.660803,Anonymous 3260,N/A,N/A,N/A,N/A,,[Text Answer] 8,,[Text Answer] Sehr gut die schnell,[Text Answer] Ja,[Text Answer] Ja,,[Text Answer] Verarbeitung,
2025-11-19 18:54:16.388578,Anonymous 3259,N/A,N/A,N/A,N/A,,[Text Answer] 5,[Text Answer] Manchmal doofe Roller,[Text Answer] Gut und bremse,[Text Answer] Sehr günstig,[Text Answer] Ja,,,
2025-11-19 18:51:55.666538,Anonymous 3258,N/A,N/A,N/A,N/A,,[Text Answer] 10,,[Text Answer] Gut schnell,[Text Answer] Ja,[Text Answer] Ja,,,[Text Answer] Reibungslos
2025-11-19 18:44:42.539891,Anonymous 3257,N/A,N/A,N/A,N/A,,[Text Answer] 9,,"[Text Answer] Top , alles perfekt",[Text Answer] Ja,"[Text Answer] Ja , zeus ist der einzige e scooter in dessau zum leihen",,,[Text Answer] Schnelles hin und her
2025-11-19 18:34:27.811506,Anonymous 3256,N/A,N/A,N/A,N/A,,[Text Answer] 7,,[Text Answer] Die Bremsen waren nicht so gut,[Text Answer] Fahren macht Spaß aber der Preis ist zu hoch,[Text Answer] Ja es gibt keine anderen Anbieter,,[Text Answer] Für kurze Strecke sehr teuer,
2025-11-19 18:24:44.728216,Anonymous 3255,N/A,N/A,N/A,N/A,,[Text Answer] 8,,[Text Answer] …,[Text Answer] …,[Text Answer] …,,[Text Answer] …,
2025-11-19 18:24:32.156349,Anonymous 3254,N/A,N/A,N/A,N/A,,[Text Answer] 8,,[Text Answer] Top,[Text Answer] Ja,[Text Answer] Ja,,[Text Answer] Top,
2025-11-19 18:22:28.925594,Anonymous 3253,N/A,N/A,N/A,N/A,,[Text Answer] 10,,[Text Answer] W,[Text Answer] Q,[Text Answer] W,,,[Text Answer] W
2025-11-19 18:18:28.338786,Anonymous 3252,N/A,N/A,N/A,N/A,,[Text Answer] 10,,,,,,,
2025-11-19 18:17:34.946808,Anonymous 3251,N/A,N/A,N/A,N/A,,[Text Answer] 10,,[Text Answer] besonders hat mir gefallen das es schnell ging,[Text Answer] ja es war gut,[Text Answer] ja würde ich weil ich mich mit zeis wohl fphle,,,[Text Answer] ich liebe es das ich überall fast scooter finde und schnell zu meinen zielen komme für nicht so viel geld
2025-11-19 18:16:44.895659,Anonymous 3250,N/A,N/A,N/A,N/A,,[Text Answer] 1,,,,,,,
2025-11-19 18:15:15.904226,Anonymous 3249,N/A,N/A,N/A,N/A,,[Text Answer] 6,"[Text Answer] - keine Quittung mehr nach der Fahrt
- die Akkus werden zu selten getauscht und sind daher oft leistungsschwach
- viele Geräte sind defekt oder haben Mängel 
- der Support ist zu seltsamen Zeiten besetzt",[Text Answer] Der E-Scooter meiner letzten Fahrt ist bergauf nur 8 km/h gefahren.,"[Text Answer] Nein, die Fahrt war den Preis nicht wert. Hätte der Roller einen anständigen Akku gehabt, hätte ich mit 20 km/h bergauf fahren können. Das passiert zu ist und habe ich bei Lime noch nie erlebt.","[Text Answer] Wenn ich die Wahl hätte nicht. Zeus hat Glück, in Villingen-Schwenningen der einzige Anbieter zu sein, ansonsten würde ich mich für eine Alternative entscheiden. Auch weil die Bundles nicht mehr fair sind, seitdem es keine Monatstarife mehr gibt.",,,
2025-11-19 18:13:46.609213,Anonymous 3248,N/A,N/A,N/A,N/A,,[Text Answer] 5,[Text Answer] Roller sind zu oft kaputt,[Text Answer] Roller könnte besser sein,[Text Answer] War kein Wert,"[Text Answer] Ja, weil ich habe keine andere Möglichkeit",,,
2025-11-19 18:13:38.069681,Anonymous 3247,N/A,N/A,N/A,N/A,,[Text Answer] 7,,[Text Answer] Reifen war kaputt die Bremse war defekt und Anzug schlecht 😕,[Text Answer] Naja war mal günstiger,[Text Answer] Ja pinga hart,,[Text Answer] Oft defekt reifen Platt und so weiter sonst echt gut natürlich empfehle ich das weiter,
2025-11-19 18:12:57.450919,Anonymous 3246,N/A,N/A,N/A,N/A,,[Text Answer] 8,,"[Text Answer] Angenehm, bis auf die generellen Schwierigkeiten","[Text Answer] Ok, kann preislich noch attraktiver werden","[Text Answer] Ja, Flexibilität. Bei uns in der Stadt ist nur Zeus verfügbar",,"[Text Answer] Freischaltung manchmal noch kompliziert, Abgabe manchmal schwierig aufgrund Sperrzonen",
2025-11-19 18:11:51.213625,Anonymous 3245,N/A,N/A,N/A,N/A,,[Text Answer] 9,,[Text Answer] Sehr guter Zustand vom scooter.,[Text Answer] Es geht so ich finde die Preise für das entsperren etwas zu hoch,[Text Answer] Ja 👍 gute Verfügbarkeit,,,[Text Answer] Gute Verfügbarkeit.  Preise etwas zu hoch fürs entsperren.
2025-11-19 18:05:39.718640,Anonymous 3244,N/A,N/A,N/A,N/A,,[Text Answer] 8,,[Text Answer] Gut,[Text Answer] Fahrspass,[Text Answer] Ja,,[Text Answer] Alles top,
2025-11-19 18:00:42.996808,Anonymous 3243,N/A,N/A,N/A,N/A,,[Text Answer] 8,,"[Text Answer] Die letzte Fahrt war UNNÖTIG ich hab einen Scooter aktiviert der garnicht mal funktioniert hat da der Motor trotz drücken „am Gas“ nicht angegangen ist… also… Geld aus dem Fenster geschmissen, und nie mehr wieder bekommen. Wie hätte ich wissen sollen das der Scooter kaputt ist, er stand in der App also gehe ich davon aus das er einwandfrei funktioniert und testen kann ich ihn ja auch nicht ohne Geld zu zahlen!",[Text Answer] Ein paar Euro sind ok aber es gibt ja kein Limit und das ist nicht ok und allgemein sind die Preise zu hoch bei kurzen und langen Strecken ….  Das System kann gerne eine Überarbeitung bekommen und dann gebe ich es vielleicht einen neuen Versuch… Ich finde die Preise zu hoch weil wenn man das mit einer Zug Fahrt oder Bus Fahrt vergleicht ist es einfach zu teuer und dafür dann auch einfach zu langsam unterwegs,"[Text Answer] Es gibt nur Zeus Scooter in meiner Stadt, aber im Vergleich zu Bus oder Zug würde ich mich dann für Scooter entscheiden, wenn der Bus nicht kommt oder zu spät kommt bzw ich zu lange darauf warten muss das es sich mehr lohnt mit einem Scooter zu fahren, zeittechnisch gesehen.",,"[Text Answer] Kosten bei langen Strecken zu hoch und einige Scooter funktionieren garnicht mehr, dazu sind Scooter oft nur in aktiven und zentralen Gebieten zurückgelassen sodass es schwer is von abgelegenen Orten einen Zugriff auf Scooter zu bekommen, außerdem ist die Geschwindigkeit ein großer negativer Faktor denn sie sind extrem langsam… bergauf noch schlimmer man ist in gehgeschwindigkeit unterwegs… bergab geht der Motor aus also man ist langsamer als beim normalen Roller fahren trotz der erhöhten Geschwindigkeit durch bergab fahren( weil der Motor nachlässt)… Es ist extrem nervig Geld dafür auszugeben um lange und langsam zu fahren wenn die Kosten dann auch noch mit der Zeit gemessen werden…",
2025-11-19 17:59:47.188536,Anonymous 3242,N/A,N/A,N/A,N/A,,[Text Answer] 2,[Text Answer] Ich finde mich sehr  gut auf denn roller bei mor hilft er zu Terminen in stadt,[Text Answer] Gut das ich pünktlich,[Text Answer] Ja sie fahrt war echt preiswert,[Text Answer] Ja würde ich weil der Roller egal vorhin fährt,,,
2025-11-19 17:59:34.056603,Anonymous 3241,N/A,N/A,N/A,N/A,,[Text Answer] 10,,[Text Answer] Gut. Der einfach Ablauf,[Text Answer] Ja,[Text Answer] Ja,,,[Text Answer] Einfache Handhabung
2025-11-19 17:57:07.671001,Anonymous 3240,N/A,N/A,N/A,N/A,,[Text Answer] 7,,,,,,,
2025-11-19 17:55:15.928305,Anonymous 3239,N/A,N/A,N/A,N/A,,[Text Answer] 7,,[Text Answer] Gut,[Text Answer] Ja,[Text Answer] Ja,,[Text Answer] Mehr Wartung,
2025-11-19 17:53:48.875690,Anonymous 3238,N/A,N/A,N/A,N/A,,[Text Answer] 7,,[Text Answer] Letzte Fahrt war gut,[Text Answer] Ja,[Text Answer] Gibt keine Alternative bei uns,,[Text Answer] Scooter sind plötzlich ohne Ankündigung verschwunden,
2025-11-19 17:51:32.010001,Anonymous 3237,N/A,N/A,N/A,N/A,,[Text Answer] 7,,[Text Answer] Ja,[Text Answer] Nein,[Text Answer] JA,,[Text Answer] Ja,
2025-11-19 17:51:04.671936,Anonymous 3236,N/A,N/A,N/A,N/A,,[Text Answer] 0,"[Text Answer] Ich habe vor Wochen bereits geschrieben, dass ich mein Geld, welches noch als Guthaben auf meiner APP geladen ist zurück haben möchte. Begründet ist es damit, dass es keine Roller seit Monaten in meiner Stadt Sonthofen im Allgäu gibt. 
Es wurde mir mitgeteilt, das die Flotte getauscht wird. Dieses ist bereits ein halbes Jahr her.",[Text Answer] 0,[Text Answer] 0,[Text Answer] 0,,,
2025-11-19 17:50:25.852336,Anonymous 3235,N/A,N/A,N/A,N/A,,[Text Answer] 0,,,,,,,
2025-11-19 17:50:16.914882,Anonymous 3234,N/A,N/A,N/A,N/A,,[Text Answer] 10,,[Text Answer] Frf,[Text Answer] Fff,[Text Answer] Fff,,,[Text Answer] Fgg
2025-11-19 17:48:20.519635,Anonymous 3233,N/A,N/A,N/A,N/A,,[Text Answer] 5,[Text Answer] Zu teuer,[Text Answer] Der Scooter war einfach zu entleihen. Aber die Fahrt war teurer als bei den Offentlichen Verkehrsmittel,[Text Answer] Zu teuer.,[Text Answer] Ja. Ist in Iserlohn verfügbar,,,
2025-11-19 17:46:59.644831,Anonymous 3232,N/A,N/A,N/A,N/A,,[Text Answer] 0,[Text Answer] Manche kaputt,[Text Answer] Gut,[Text Answer] Joa bisschen teuer,[Text Answer] Ja,,,
2025-11-19 17:45:21.542885,Anonymous 3231,N/A,N/A,N/A,N/A,,[Text Answer] 7,,"[Text Answer] Schlecht war, dass erst der 3 Scooter fahrfähig war","[Text Answer] Nein, ich habe div. KM für schlecht gewartetes Equipment bezahlt und habe mich geärgert, da ich zu einem Termin musste.",[Text Answer] In Schweinfurt gibt es keine anderen Scooter,,[Text Answer] Schlechter technischer Zustand der Roller,
2025-11-19 17:44:12.164146,Anonymous 3230,N/A,N/A,N/A,N/A,,[Text Answer] 10,,[Text Answer] Sehr schön alles passt,[Text Answer] Ja,[Text Answer] Ja,,,[Text Answer] Schnell und günstig
